seed_id,variant_id,text,language_style,energy,tension,attention,primary_state,auto_flags,decision,review_note
drained_001,drained_001_g3,"I've been studying for hours, aur mera dimaag bilkul drained hai.",code_mixed,low,medium,okay,drained,,,
drained_002,drained_002_g1,I feel mentally drained after this assignment.,english,low,low,okay,drained,,,
drained_002,drained_002_g2,Mujhe is assignment ke baad mentally flat feel ho raha hai.,roman_urdu,low,low,okay,drained,,,
drained_002,drained_002_g3,"After this assignment, main mentally flat feel kar raha hoon.",code_mixed,low,low,okay,drained,,,
drained_003,drained_003_g1,I’m out of energy and just need a quick recharge.,english,low,low,okay,drained,,,
drained_003,drained_003_g2,"Meri energy khatam ho gayi hai, thoda reset chahiye.",roman_urdu,low,low,okay,drained,,,
drained_003,drained_003_g3,"Mujhe energy khatam ho gayi hai, thoda reset chahiye.",code_mixed,low,low,okay,drained,,,
drained_005,drained_005_g1,I'm wiped out after three hours of revision.,english,low,medium,okay,drained,,,
drained_005,drained_005_g2,Teen ghante ki revision ke baad main bilkul thak gaya hoon.,roman_urdu,low,medium,okay,drained,,,
drained_005,drained_005_g3,"After three hours of revision, main bilkul drained feel kar raha hoon.",code_mixed,low,medium,okay,drained,,,
drained_006,drained_006_g1,I'm feeling sleepy and nothing seems interesting right now.,english,low,low,okay,drained,,,
drained_006,drained_006_g2,Mujhe neend aa rahi hai aur ab koi cheez dilchasp nahi lagti.,roman_urdu,low,low,okay,drained,,,
drained_006,drained_006_g3,I'm so sleepy and ab koi cheez interesting nahi lag rahi.,code_mixed,low,low,okay,drained,,,
drained_007,drained_007_g1,"My brain's fried, but I'm not really stressed.",english,low,low,okay,drained,,,
drained_007,drained_007_g2,"Mera brain thoda fried hai, lekin main zyada stressed nahi hoon.",roman_urdu,low,low,okay,drained,,,
drained_007,drained_007_g3,"My brain is fried, lekin main zyada stressed feel nahi kar raha.",code_mixed,low,low,okay,drained,,,
drained_008,drained_008_g1,I just need something to get me going a bit.,english,low,low,okay,drained,,,
drained_008,drained_008_g2,Mujhe sirf thoda sa kuch chahiye jo mujhe jagaye.,roman_urdu,low,low,okay,drained,,,
drained_008,drained_008_g3,"I just need something to wake me up a little, yaar.",code_mixed,low,low,okay,drained,,,
drained_009,drained_009_g1,My brain is totally drained.,english,low,low,okay,drained,,,
drained_009,drained_009_g2,Dimagh bilkul thak gaya hai.,roman_urdu,low,low,okay,drained,,,
drained_009,drained_009_g3,Dimagh is totally thak gaya.,code_mixed,low,low,okay,drained,,,
drained_010,drained_010_g1,"I've been studying for ages, and now I have no energy.",english,low,medium,okay,drained,,,
drained_010,drained_010_g2,"Bohat der se padh rahi hun, ab energy nahi hai.",roman_urdu,low,medium,okay,drained,,,
drained_010,drained_010_g3,"Bohat der se study kar rahi hun, ab energy nahi hai.",code_mixed,low,medium,okay,drained,,,
drained_011,drained_011_g1,Today my brain just isn't working.,english,low,low,okay,drained,,,
drained_011,drained_011_g2,Aaj dimag kaam hi nahi kar raha.,roman_urdu,low,low,okay,drained,,,
drained_011,drained_011_g3,Aaj dimag just kaam hi nahi kar raha.,code_mixed,low,low,okay,drained,,,
drained_013,drained_013_g1,"After studying, my brain feels dead.",english,low,medium,okay,drained,,,
drained_013,drained_013_g2,Parh ke baad brain dead feel ho raha hai.,roman_urdu,low,medium,okay,drained,,,
drained_013,drained_013_g3,Parh ke baad brain dead lag raha hai.,code_mixed,low,medium,okay,drained,,,
drained_014,drained_014_g1,The assignment drained all my energy.,english,low,medium,okay,drained,,,
drained_014,drained_014_g2,Assignment ne meri sari energy kha li.,roman_urdu,low,medium,okay,drained,,,
drained_014,drained_014_g3,"Assignment ne meri energy khatam kar di, ab thaka hua hoon.",code_mixed,low,medium,okay,drained,,,
drained_015,drained_015_g1,"I'm totally wiped out, but I still have to keep studying.",english,low,medium,okay,drained,,,
drained_015,drained_015_g2,"Mujhe bilkul thak gaya hai, ab bhi padhai karni hai.",roman_urdu,low,medium,okay,drained,,,
drained_015,drained_015_g3,"I'm so thak gaya, par abhi bhi study karni hai.",code_mixed,low,medium,okay,drained,,,
drained_016,drained_016_g1,"My brain feels fried, but I'm not panicking.",english,low,low,okay,drained,,,
drained_016,drained_016_g2,"Dimagh fried hai, lekin panic ka scene nahi.",roman_urdu,low,low,okay,drained,,,
drained_016,drained_016_g3,"Dimagh fried hai, but panic ka scene nahi.",code_mixed,low,low,okay,drained,,,
drained_017,drained_017_g1,"I have no energy, but my focus is still fine.",english,low,low,okay,drained,,,
drained_017,drained_017_g2,"Energy zero hai, focus abhi theek hai.",roman_urdu,low,low,okay,drained,,,
drained_017,drained_017_g3,"I have zero energy, lekin focus abhi theek hai.",code_mixed,low,low,okay,drained,,,
drained_018,drained_018_g1,I just need a little recharge for my brain.,english,low,low,okay,drained,,,
drained_018,drained_018_g2,Bas thodi battery recharge karni hai dimag ki.,roman_urdu,low,low,okay,drained,,,
drained_018,drained_018_g3,"Bas thori battery recharge karni hai brain ki, bro.",code_mixed,low,low,okay,drained,,,
drained_019,drained_019_g1,"I need a break, my brain has slowed down.",english,low,low,okay,drained,,,
drained_019,drained_019_g2,"Mujhe break chahiye, mera brain slow ho gaya hai.",roman_urdu,low,low,okay,drained,,,
drained_019,drained_019_g3,"I need a break, mera brain slow ho gaya hai.",code_mixed,low,low,okay,drained,,,
drained_020,drained_020_g1,I'm totally drained after the lecture.,english,low,low,okay,drained,,,
drained_020,drained_020_g2,Lecture ke baad main bilkul drained mehsoos kar raha hoon.,roman_urdu,low,low,okay,drained,,,
drained_020,drained_020_g3,Lecture ke baad main bilkul drained feel kar raha hoon.,code_mixed,low,low,okay,drained,,,
overwhelmed_001,overwhelmed_001_g1,I've got an exam tomorrow and I'm freaking out.,english,normal,high,scattered,overwhelmed,,,
overwhelmed_001,overwhelmed_001_g2,Mera kal exam hai aur main pareshan hoon.,roman_urdu,normal,high,scattered,overwhelmed,,,
overwhelmed_001,overwhelmed_001_g3,Kal ka exam hai aur main kaafi anxious feel kar raha hoon.,code_mixed,normal,high,scattered,overwhelmed,,,
overwhelmed_003,overwhelmed_003_g1,This deadline is making everything feel overwhelming.,english,normal,high,scattered,overwhelmed,,,
overwhelmed_003,overwhelmed_003_g2,Yeh deadline sab kuch zyada lag raha hai.,roman_urdu,normal,high,scattered,overwhelmed,,,
overwhelmed_003,overwhelmed_003_g3,Yeh deadline sab kuch too much feel karwa rahi hai.,code_mixed,normal,high,scattered,overwhelmed,,,
overwhelmed_004,overwhelmed_004_g1,I've got five deadlines and my brain is overloaded.,english,normal,high,scattered,overwhelmed,,,
overwhelmed_004,overwhelmed_004_g2,Mere paas panch kaam due hain aur mera dimagh bhara hua hai.,roman_urdu,normal,high,scattered,overwhelmed,,,
overwhelmed_004,overwhelmed_004_g3,I have five things due and mera dimagh full hai.,code_mixed,normal,high,scattered,overwhelmed,,,
overwhelmed_005,overwhelmed_005_g1,I get anxious every time I glance at my notes.,english,normal,high,okay,overwhelmed,,,
overwhelmed_005,overwhelmed_005_g2,"Jab bhi main apni notes dekhta hoon, mujhe tension mehsoos hoti hai.",roman_urdu,normal,high,okay,overwhelmed,,,
overwhelmed_005,overwhelmed_005_g3,"Jab bhi main notes dekhta hoon, mujhe tension feel hoti hai.",code_mixed,normal,high,okay,overwhelmed,,,
overwhelmed_006,overwhelmed_006_g1,I can't calm down enough to start studying.,english,high,high,scattered,overwhelmed,,,
overwhelmed_006,overwhelmed_006_g2,Main shant nahi ho pa raha hoon takay padhai shuru kar sakoon.,roman_urdu,high,high,scattered,overwhelmed,,,
overwhelmed_006,overwhelmed_006_g3,"I can't chill out enough to start studying, yaar.",code_mixed,high,high,scattered,overwhelmed,,,
overwhelmed_007,overwhelmed_007_g1,Everything feels urgent right now.,english,high,high,scattered,overwhelmed,,,
overwhelmed_007,overwhelmed_007_g2,Sab kuch abhi turant lag raha hai.,roman_urdu,high,high,scattered,overwhelmed,,,
overwhelmed_007,overwhelmed_007_g3,Everything abhi kaafi urgent lag raha hai.,code_mixed,high,high,scattered,overwhelmed,,,
overwhelmed_008,overwhelmed_008_g1,The workload is becoming overwhelming.,english,normal,high,okay,overwhelmed,,,
overwhelmed_008,overwhelmed_008_g2,Workload zyada ho raha hai.,roman_urdu,normal,high,okay,overwhelmed,,,
overwhelmed_008,overwhelmed_008_g3,Workload kaafi heavy ho raha hai.,code_mixed,normal,high,okay,overwhelmed,,,
overwhelmed_009,overwhelmed_009_g1,I have an exam tomorrow but I haven't prepared anything.,english,normal,high,scattered,overwhelmed,,,
overwhelmed_009,overwhelmed_009_g2,Kal exam hai lekin kuch tayyar nahi kiya.,roman_urdu,normal,high,scattered,overwhelmed,,,
overwhelmed_009,overwhelmed_009_g3,Kal exam hai but kuch prepare nahi kiya.,code_mixed,normal,high,scattered,overwhelmed,,,
overwhelmed_010,overwhelmed_010_g1,I’m feeling a lot of tension and can’t figure out where to begin.,english,normal,high,scattered,overwhelmed,,,
overwhelmed_010,overwhelmed_010_g2,"Bohat tension ho rahi hai, samajh nahi aa raha ke kahan se shuru karun.",roman_urdu,normal,high,scattered,overwhelmed,,,
overwhelmed_010,overwhelmed_010_g3,"Bohat tension ho rahi hai, samajh nahi aa raha ke kahan se start karun.",code_mixed,normal,high,scattered,overwhelmed,,,
overwhelmed_011,overwhelmed_011_g1,"I’ve got so much work left, my mind is all over the place.",english,normal,high,scattered,overwhelmed,,,
overwhelmed_011,overwhelmed_011_g2,"Itna saara kaam pending hai, dimag ghoom raha hai.",roman_urdu,normal,high,scattered,overwhelmed,,,
overwhelmed_011,overwhelmed_011_g3,"Bahut saara kaam pending hai, my mind ghoom raha hai.",code_mixed,normal,high,scattered,overwhelmed,,,
overwhelmed_012,overwhelmed_012_g1,I've got a deadline coming up and I'm freaking out.,english,normal,high,scattered,overwhelmed,,,
overwhelmed_012,overwhelmed_012_g2,Deadline zara nazdeek aa rahi hai aur main pareshan hoon.,roman_urdu,normal,high,scattered,overwhelmed,,,
overwhelmed_012,overwhelmed_012_g3,Deadline is coming close and main bahut stressed feel kar raha hoon.,code_mixed,normal,high,scattered,overwhelmed,,,
overwhelmed_013,overwhelmed_013_g1,"I've got a lot on my plate, man, nothing seems to be getting done.",english,normal,high,scattered,overwhelmed,,,
overwhelmed_013,overwhelmed_013_g2,"Mere paas bahut load hai yaar, kuch bhi process nahi ho raha.",roman_urdu,normal,high,scattered,overwhelmed,,,
overwhelmed_013,overwhelmed_013_g3,"I have bahut load yaar, kuch process ho raha hi nahi.",code_mixed,normal,high,scattered,overwhelmed,,,
overwhelmed_014,overwhelmed_014_g1,Exam tomorrow and I'm kinda panicking.,english,normal,high,scattered,overwhelmed,,,
overwhelmed_014,overwhelmed_014_g2,Exam kal hai aur main thoda pareshan hoon.,roman_urdu,normal,high,scattered,overwhelmed,,,
overwhelmed_014,overwhelmed_014_g3,"Exam kal hai, but main thoda panicking feel kar raha hoon.",code_mixed,normal,high,scattered,overwhelmed,,,
overwhelmed_015,overwhelmed_015_g1,Everything feels urgent.,english,high,high,scattered,overwhelmed,,,
overwhelmed_015,overwhelmed_015_g2,Sab cheezein urgent lag rahi hain.,roman_urdu,high,high,scattered,overwhelmed,,,
overwhelmed_015,overwhelmed_015_g3,Everything urgent lag rahi hai.,code_mixed,high,high,scattered,overwhelmed,,,
overwhelmed_017,overwhelmed_017_g1,"My brain's overloaded, honestly.",english,normal,high,okay,overwhelmed,,,
overwhelmed_017,overwhelmed_017_g2,"Mera brain bilkul overload ho gaya hai, sach mein.",roman_urdu,normal,high,okay,overwhelmed,,,
overwhelmed_017,overwhelmed_017_g3,"Mera brain overload ho gaya hai, honestly, ab main overwhelmed hoon.",code_mixed,normal,high,okay,overwhelmed,,,
overwhelmed_018,overwhelmed_018_g1,"I can't even start, I'm so stressed.",english,normal,high,scattered,overwhelmed,,,
overwhelmed_018,overwhelmed_018_g2,"Main shuru hi nahi kar sakta, itna stress ho raha hai.",roman_urdu,normal,high,scattered,overwhelmed,,,
overwhelmed_018,overwhelmed_018_g3,"I can't start, itna stress ho raha hai.",code_mixed,normal,high,scattered,overwhelmed,,,
overwhelmed_019,overwhelmed_019_g1,Seeing the notes is adding to my tension.,english,normal,high,okay,overwhelmed,,,
overwhelmed_019,overwhelmed_019_g2,Notes dekh ke tension barh rahi hai.,roman_urdu,normal,high,okay,overwhelmed,,,
overwhelmed_019,overwhelmed_019_g3,Notes dekh ke tension badh rahi hai.,code_mixed,normal,high,okay,overwhelmed,,,
overwhelmed_020,overwhelmed_020_g1,"I have a presentation and an assignment, and everything feels off.",english,normal,high,scattered,overwhelmed,,,
overwhelmed_020,overwhelmed_020_g2,"Presentation bhi hai, assignment bhi hai, scene kaafi off lag raha hai.",roman_urdu,normal,high,scattered,overwhelmed,,,
overwhelmed_020,overwhelmed_020_g3,"Presentation bhi hai, assignment bhi hai, scene kaafi off feel ho raha hai.",code_mixed,normal,high,scattered,overwhelmed,,,
distracted_001,distracted_001_g1,I'm constantly switching tabs and can't focus on a single task.,english,normal,medium,scattered,distracted,,,
distracted_001,distracted_001_g2,Main baar baar tabs badal raha hoon aur ek hi cheez par focus nahi kar paata.,roman_urdu,normal,medium,scattered,distracted,,,
distracted_001,distracted_001_g3,I keep switching tabs aur ek hi cheez pe focus nahi kar paa raha.,code_mixed,normal,medium,scattered,distracted,,,
distracted_002,distracted_002_g1,I read a line and then my mind wanders elsewhere.,english,normal,low,scattered,distracted,,,
distracted_002,distracted_002_g2,"Ek line padh li, phir mera zehan kahin aur chala gaya.",roman_urdu,normal,low,scattered,distracted,,,
distracted_002,distracted_002_g3,"I read one line, phir mera mind kahin aur chala gaya.",code_mixed,normal,low,scattered,distracted,,,
distracted_003,distracted_003_g1,I can't concentrate on just one paragraph.,english,normal,medium,scattered,distracted,,,
distracted_003,distracted_003_g2,Main ek paragraph par focus nahi kar pa raha hoon.,roman_urdu,normal,medium,scattered,distracted,,,
distracted_003,distracted_003_g3,"I can't focus on ek paragraph, yeh mushkil hai.",code_mixed,normal,medium,scattered,distracted,,,
distracted_005,distracted_005_g1,I’m constantly looking at random stuff instead of studying.,english,normal,low,scattered,distracted,,,
distracted_005,distracted_005_g2,Main hamesha random cheezain check karta rehta hoon studying ki jagah.,roman_urdu,normal,low,scattered,distracted,,,
distracted_005,distracted_005_g3,I keep checking random cheezain instead of studying.,code_mixed,normal,low,scattered,distracted,,,
distracted_006,distracted_006_g1,I feel restless and can't focus on the task.,english,high,medium,scattered,distracted,,,
distracted_006,distracted_006_g2,Main tanhai mehsoos kar raha hoon aur kaam pe focus nahi kar pa raha.,roman_urdu,high,medium,scattered,distracted,,,
distracted_006,distracted_006_g3,"I feel restless, magar task pe focus nahin kar pa raha.",code_mixed,high,medium,scattered,distracted,,,
distracted_007,distracted_007_g1,I begin asking a question and instantly want to switch to something else.,english,normal,low,scattered,distracted,,,
distracted_007,distracted_007_g2,Main sawal shuru karta hoon aur turant kuch aur karna chahta hoon.,roman_urdu,normal,low,scattered,distracted,,,
distracted_007,distracted_007_g3,I sawal start kar raha hoon aur turant kuch aur karna chahta hoon.,code_mixed,normal,low,scattered,distracted,,,
distracted_008,distracted_008_g1,I keep getting distracted while reading.,english,normal,low,scattered,distracted,,,
distracted_008,distracted_008_g2,Mera dimag padhte waqt hi bhatak raha hai.,roman_urdu,normal,low,scattered,distracted,,,
distracted_008,distracted_008_g3,My mind keeps bhatak raha hai while I read.,code_mixed,normal,low,scattered,distracted,,,
distracted_009,distracted_009_g1,I can't focus at all.,english,normal,medium,scattered,distracted,,,
distracted_009,distracted_009_g2,Focus bilkul nai ho raha.,roman_urdu,normal,medium,scattered,distracted,,,
distracted_009,distracted_009_g3,"Focus bilkul nai ho raha, like seriously.",code_mixed,normal,medium,scattered,distracted,,,
distracted_010,distracted_010_g1,I couldn't focus on a single page.,english,normal,low,scattered,distracted,,,
distracted_010,distracted_010_g2,Ek page pe dimag tik nahi raha.,roman_urdu,normal,low,scattered,distracted,,,
distracted_010,distracted_010_g3,Ek page pe mind tik nahi raha.,code_mixed,normal,low,scattered,distracted,,,
distracted_011,distracted_011_g1,I keep checking my phone for no reason.,english,normal,low,scattered,distracted,,,
distracted_011,distracted_011_g2,"Bar bar phone check kar rahi hun, koi wajah nahi.",roman_urdu,normal,low,scattered,distracted,,,
distracted_011,distracted_011_g3,"I keep checking my phone bar bar, koi wajah nahi.",code_mixed,normal,low,scattered,distracted,,,
distracted_012,distracted_012_g1,"When I sit to read, my mind drifts away.",english,normal,low,scattered,distracted,,,
distracted_012,distracted_012_g2,"Jab main padhne bethta hoon, dimag idhar-udhar chala jata hai.",roman_urdu,normal,low,scattered,distracted,,,
distracted_012,distracted_012_g3,"Reading ke waqt, dimag idhar-udhar chala jata hai.",code_mixed,normal,low,scattered,distracted,,,
distracted_013,distracted_013_g1,"I keep switching tabs, my focus is all messed up.",english,normal,medium,scattered,distracted,,,
distracted_013,distracted_013_g2,"Main tab badal raha hoon, focus bilkul kharab hai.",roman_urdu,normal,medium,scattered,distracted,,,
distracted_013,distracted_013_g3,"I keep tab hopping, focus bilkul kharab hai.",code_mixed,normal,medium,scattered,distracted,,,
distracted_014,distracted_014_g1,I can't lock onto one thing.,english,normal,medium,scattered,distracted,,,
distracted_014,distracted_014_g2,Ek cheez pe focus nahin kar pa raha.,roman_urdu,normal,medium,scattered,distracted,,,
distracted_014,distracted_014_g3,I can't lock in on ek cheez.,code_mixed,normal,medium,scattered,distracted,,,
distracted_015,distracted_015_g1,My mind is totally wandering today.,english,normal,low,scattered,distracted,,,
distracted_015,distracted_015_g2,Mera dimagh aaj poori tarah se bhatak raha hai.,roman_urdu,normal,low,scattered,distracted,,,
distracted_015,distracted_015_g3,My mind today is full on bhatak raha hai.,code_mixed,normal,low,scattered,distracted,,,
distracted_016,distracted_016_g1,I need to study but my attention keeps drifting everywhere.,english,normal,medium,scattered,distracted,,,
distracted_016,distracted_016_g2,"Parhna hai, lekin attention har jagah ja rahi hai.",roman_urdu,normal,medium,scattered,distracted,,,
distracted_016,distracted_016_g3,"I need to study, lekin attention har jagah ja rahi hai.",code_mixed,normal,medium,scattered,distracted,,,
distracted_017,distracted_017_g1,I’m feeling restless and can’t sit down at work.,english,high,medium,scattered,distracted,,,
distracted_017,distracted_017_g2,"Mujhe bechaini mehsoos ho rahi hai, kaam pe baith nahi pa raha.",roman_urdu,high,medium,scattered,distracted,,,
distracted_017,distracted_017_g3,"I’m feeling bechain, kaam pe baith nahi pa raha.",code_mixed,high,medium,scattered,distracted,,,
distracted_018,distracted_018_g1,I was just reading that line over and over because my focus keeps drifting.,english,normal,medium,scattered,distracted,,,
distracted_018,distracted_018_g2,Main sirf wohi line bar bar padh raha tha kyunke mera focus bar bar chala jata hai.,roman_urdu,normal,medium,scattered,distracted,,,
distracted_018,distracted_018_g3,I was just reading that line again and again kyunki mera focus baar baar chala jata hai.,code_mixed,normal,medium,scattered,distracted,,,
distracted_019,distracted_019_g1,"I can't focus, just things keep switching.",english,normal,medium,scattered,distracted,,,
distracted_019,distracted_019_g2,"Focus nahi ho raha, bas cheezein switch kar rahi hain.",roman_urdu,normal,medium,scattered,distracted,,,
distracted_019,distracted_019_g3,"I focus nahi kar pa raha, bas cheezein constantly switch kar rahi hain.",code_mixed,normal,medium,scattered,distracted,,,
distracted_020,distracted_020_g1,My brain just won't stay in one place.,english,high,medium,scattered,distracted,,,
distracted_020,distracted_020_g2,Dimagh aik jagah ruk nahi raha.,roman_urdu,high,medium,scattered,distracted,,,
distracted_020,distracted_020_g3,"Dimagh ek spot pe fix nahi ho raha, so I can't focus.",code_mixed,high,medium,scattered,distracted,,,
stuck_001,stuck_001_g1,I've been staring at the same bug for forty minutes.,english,normal,medium,stuck,stuck,,,
stuck_001,stuck_001_g2,Main 40 minute se ek hi bug dekh raha hoon.,roman_urdu,normal,medium,stuck,stuck,,,
stuck_001,stuck_001_g3,"I've been staring at the same bug for 40 minutes, yaar.",code_mixed,normal,medium,stuck,stuck,,,
stuck_002,stuck_002_g1,I keep trying the same approach but I'm not making progress.,english,normal,medium,stuck,stuck,,,
stuck_002,stuck_002_g2,"Main bar bar wohi tareeqa apna raha hoon, lekin koi faida nahi ho raha.",roman_urdu,normal,medium,stuck,stuck,,,
stuck_002,stuck_002_g3,"I keep trying the same approach, lekin koi progress nahi ho rahi.",code_mixed,normal,medium,stuck,stuck,,,
stuck_003,stuck_003_g1,I can't figure out this question and see no other way.,english,normal,medium,stuck,stuck,,,
stuck_003,stuck_003_g2,Mujhe yeh sawal samajh nahi aa raha aur koi aur tareeka nazar nahi aa raha.,roman_urdu,normal,medium,stuck,stuck,,,
stuck_003,stuck_003_g3,"I'm stuck with this question, aur koi solution dikh nahi raha.",code_mixed,normal,medium,stuck,stuck,,,
stuck_004,stuck_004_g1,I'm stuck on this problem.,english,normal,medium,stuck,stuck,,,
stuck_004,stuck_004_g2,Mera dimaag is masle pe fasa hua hai.,roman_urdu,normal,medium,stuck,stuck,,,
stuck_004,stuck_004_g3,Mera brain is masle pe fasa hua hai.,code_mixed,normal,medium,stuck,stuck,,,
stuck_005,stuck_005_g1,I went over this part five times and still don't understand it.,english,low,medium,stuck,stuck,,,
stuck_005,stuck_005_g2,Maine is hissa ko paanch bar dubara padh liya hai aur abhi tak samajh nahi aaya.,roman_urdu,low,medium,stuck,stuck,,,
stuck_005,stuck_005_g3,"I have read this section five times, lekin abhi tak samajh nahi aaya.",code_mixed,low,medium,stuck,stuck,,,
stuck_006,stuck_006_g1,Nothing is progressing on this task.,english,normal,medium,stuck,stuck,,,
stuck_006,stuck_006_g2,Is task mein kuch bhi aage nahi badh raha.,roman_urdu,normal,medium,stuck,stuck,,,
stuck_006,stuck_006_g3,Task pe koi bhi progress nahi ho rahi.,code_mixed,normal,medium,stuck,stuck,,,
stuck_007,stuck_007_g1,I'm stuck on this assignment.,english,low,medium,stuck,stuck,,,
stuck_007,stuck_007_g2,Mujhe is assignment mein mushkil ho rahi hai.,roman_urdu,low,medium,stuck,stuck,,,
stuck_007,stuck_007_g3,"I'm stuck on this assignment, yaar.",code_mixed,low,medium,stuck,stuck,,,
stuck_008,stuck_008_g1,I just need to step back from this issue for a bit.,english,normal,medium,stuck,stuck,,,
stuck_008,stuck_008_g2,Mujhe thodi der ke liye is masle se door rehna hai.,roman_urdu,normal,medium,stuck,stuck,,,
stuck_008,stuck_008_g3,"Mujhe is problem se thoda break lena hai, ek minute ke liye.",code_mixed,normal,medium,stuck,stuck,,,
stuck_009,stuck_009_g1,I'm stuck on the same question for half an hour.,english,normal,medium,stuck,stuck,,,
stuck_009,stuck_009_g2,Ek hi sawal pe aadha ghanta se atki hui hoon.,roman_urdu,normal,medium,stuck,stuck,,,
stuck_009,stuck_009_g3,Same question pe half an hour se stuck hoon.,code_mixed,normal,medium,stuck,stuck,,,
stuck_010,stuck_010_g1,This bug hasn't been fixed in ages.,english,normal,medium,stuck,stuck,,,
stuck_010,stuck_010_g2,Ye bug bohot der se solve nahin ho raha.,roman_urdu,normal,medium,stuck,stuck,,,
stuck_010,stuck_010_g3,This bug bohat der se solve nahin ho raha.,code_mixed,normal,medium,stuck,stuck,,,
stuck_011,stuck_011_g1,My mind is stuck on this problem.,english,normal,medium,stuck,stuck,,,
stuck_011,stuck_011_g2,Dimagh isi masle pe atak gaya hai.,roman_urdu,normal,medium,stuck,stuck,,,
stuck_011,stuck_011_g3,My dimagh is stuck on this problem.,code_mixed,normal,medium,stuck,stuck,,,
stuck_012,stuck_012_g1,I can't understand and I'm repeating the same thing.,english,normal,medium,stuck,stuck,,,
stuck_012,stuck_012_g2,Samajh nahi aa raha aur same cheez bar bar kar raha hoon.,roman_urdu,normal,medium,stuck,stuck,,,
stuck_012,stuck_012_g3,I samajh nahi aa raha aur same cheez repeat kar raha hoon.,code_mixed,normal,medium,stuck,stuck,,,
stuck_013,stuck_013_g1,I've been staring at the same code for 40 minutes.,english,normal,medium,stuck,stuck,,,
stuck_013,stuck_013_g2,Main 40 minute se wahi code dekh raha hoon.,roman_urdu,normal,medium,stuck,stuck,,,
stuck_013,stuck_013_g3,I've 40 minute se same code dekh raha hoon.,code_mixed,normal,medium,stuck,stuck,,,
stuck_014,stuck_014_g1,"I’m completely stuck, man, can’t find any new angle.",english,normal,medium,stuck,stuck,,,
stuck_014,stuck_014_g2,"Mujhe poora stuck lag raha hai yaar, koi naya angle nahin mil raha.",roman_urdu,normal,medium,stuck,stuck,,,
stuck_014,stuck_014_g3,"I'm fully stuck yaar, koi naya angle nahi mil raha.",code_mixed,normal,medium,stuck,stuck,,,
stuck_015,stuck_015_g1,I froze on this part of the assignment.,english,low,medium,stuck,stuck,,,
stuck_015,stuck_015_g2,Assignment ke is part pe main freeze ho gayi hun.,roman_urdu,low,medium,stuck,stuck,,,
stuck_015,stuck_015_g3,"Assignment ke is part pe main freeze ho gayi hun, yaar.",code_mixed,low,medium,stuck,stuck,,,
stuck_017,stuck_017_g1,"This problem has taken over my mind, I can't move on.",english,normal,medium,stuck,stuck,,,
stuck_017,stuck_017_g2,"Yeh masla dimag mein ghus gaya hai, move on nahin ho raha.",roman_urdu,normal,medium,stuck,stuck,,,
stuck_017,stuck_017_g3,"Yeh problem dimag mein ghus gaya hai, move on nahin ho raha.",code_mixed,normal,medium,stuck,stuck,,,
stuck_018,stuck_018_g1,I feel like I should step back because I'm stuck on the same answer.,english,normal,medium,stuck,stuck,,,
stuck_018,stuck_018_g2,Mujhe lagta hai ke mujhe alag rehna chahiye kyun ke main ek hi jawab par ghuma phira raha hoon.,roman_urdu,normal,medium,stuck,stuck,,,
